Year,State,County,Value
2020,INDIANA,BARTHOLOMEW,187.5
2020,INDIANA,BOONE,221.9
2020,INDIANA,CLINTON,207.1
2020,INDIANA,DECATUR,209.5
2020,INDIANA,GRANT,187.8
2020,INDIANA,HAMILTON,188.7
2020,INDIANA,HANCOCK,188.5
2020,INDIANA,HENDRICKS,205.2
2020,INDIANA,HOWARD,213.1
2020,INDIANA,JOHNSON,184.2
2020,INDIANA,MADISON,204.7
2020,INDIANA,MARION,191.9
2020,INDIANA,MORGAN,188
2020,INDIANA,RUSH,201.9
2020,INDIANA,SHELBY,191
2020,INDIANA,TIPTON,216.7
2020,INDIANA,BLACKFORD,187.9
2020,INDIANA,DELAWARE,192
2020,INDIANA,FAYETTE,191.5
2020,INDIANA,HENRY,196.6
2020,INDIANA,JAY,179.9
2020,INDIANA,RANDOLPH,183.9
2020,INDIANA,UNION,208.9
2020,INDIANA,WAYNE,186.6
2020,INDIANA,CARROLL,209.6
2020,INDIANA,CASS,200.4
2020,INDIANA,ELKHART,174.8
2020,INDIANA,FULTON,181
2020,INDIANA,KOSCIUSKO,172.9
2020,INDIANA,MARSHALL,175.5
2020,INDIANA,MIAMI,180.8
2020,INDIANA,ST. JOSEPH,167.7
2020,INDIANA,WABASH,174.2
2020,INDIANA,ADAMS,179.9
2020,INDIANA,ALLEN,165.2
2020,INDIANA,DE KALB,136.6
2020,INDIANA,HUNTINGTON,186.1
2020,INDIANA,LAGRANGE,143.5
2020,INDIANA,NOBLE,175.3
2020,INDIANA,STEUBEN,145.6
2020,INDIANA,WELLS,188.5
2020,INDIANA,WHITLEY,159.6
2020,INDIANA,BENTON,204.5
2020,INDIANA,JASPER,172.3
2020,INDIANA,LA PORTE,147.8
2020,INDIANA,LAKE,171.3
2020,INDIANA,NEWTON,192.9
2020,INDIANA,PORTER,182.2
2020,INDIANA,PULASKI,172.7
2020,INDIANA,STARKE,156.8
2020,INDIANA,WHITE,178.5
2020,INDIANA,FLOYD,171.2
2020,INDIANA,HARRISON,182
2020,INDIANA,JACKSON,185.4
2020,INDIANA,LAWRENCE,183.4
2020,INDIANA,MONROE,168.2
2020,INDIANA,ORANGE,205.3
2020,INDIANA,PERRY,179.7
2020,INDIANA,WASHINGTON,172.9
2020,INDIANA,CLARK,173.4
2020,INDIANA,DEARBORN,173.2
2020,INDIANA,FRANKLIN,184.9
2020,INDIANA,JEFFERSON,165
2020,INDIANA,JENNINGS,177.1
2020,INDIANA,OHIO,154.3
2020,INDIANA,RIPLEY,178.4
2020,INDIANA,SWITZERLAND,182.2
2020,INDIANA,DAVIESS,192.4
2020,INDIANA,DUBOIS,183.9
2020,INDIANA,GIBSON,200.3
2020,INDIANA,GREENE,184.3
2020,INDIANA,KNOX,187
2020,INDIANA,MARTIN,190.6
2020,INDIANA,PIKE,181.4
2020,INDIANA,POSEY,199
2020,INDIANA,SPENCER,182.7
2020,INDIANA,SULLIVAN,182.9
2020,INDIANA,VANDERBURGH,204.7
2020,INDIANA,WARRICK,176.9
2020,INDIANA,CLAY,189.1
2020,INDIANA,FOUNTAIN,186.9
2020,INDIANA,MONTGOMERY,205
2020,INDIANA,OWEN,168.5
2020,INDIANA,PARKE,196.7
2020,INDIANA,PUTNAM,193.5
2020,INDIANA,TIPPECANOE,207.1
2020,INDIANA,VERMILLION,188.8
2020,INDIANA,VIGO,176.7
2020,INDIANA,WARREN,206.6
2020,INDIANA,OTHER COUNTIES,160
2019,INDIANA,BOONE,177.4
2019,INDIANA,DECATUR,180
2019,INDIANA,HAMILTON,156.7
2019,INDIANA,HANCOCK,138.2
2019,INDIANA,HENDRICKS,176.1
2019,INDIANA,HOWARD,185.6
2019,INDIANA,JOHNSON,169.2
2019,INDIANA,MADISON,158.9
2019,INDIANA,MARION,144.2
2019,INDIANA,OTHER (COMBINED) COUNTIES,173.4
2019,INDIANA,RUSH,180
2019,INDIANA,SHELBY,163.5
2019,INDIANA,TIPTON,172.4
2019,INDIANA,DELAWARE,157.6
2019,INDIANA,FAYETTE,177.3
2019,INDIANA,JAY,164.9
2019,INDIANA,OTHER (COMBINED) COUNTIES,168.4
2019,INDIANA,RANDOLPH,170.5
2019,INDIANA,UNION,179
2019,INDIANA,WAYNE,167.5
2019,INDIANA,CARROLL,194.6
2019,INDIANA,ELKHART,154.7
2019,INDIANA,FULTON,172.6
2019,INDIANA,KOSCIUSKO,173.7
2019,INDIANA,MARSHALL,157.1
2019,INDIANA,OTHER (COMBINED) COUNTIES,171.6
2019,INDIANA,ST. JOSEPH,147.8
2019,INDIANA,WABASH,184.3
2019,INDIANA,ADAMS,170.1
2019,INDIANA,ALLEN,181.4
2019,INDIANA,DE KALB,168.3
2019,INDIANA,HUNTINGTON,181
2019,INDIANA,LAGRANGE,133.3
2019,INDIANA,NOBLE,179.5
2019,INDIANA,OTHER (COMBINED) COUNTIES,177
2019,INDIANA,WHITLEY,174
2019,INDIANA,BENTON,186
2019,INDIANA,LA PORTE,148.1
2019,INDIANA,NEWTON,182.4
2019,INDIANA,OTHER (COMBINED) COUNTIES,175.4
2019,INDIANA,PORTER,181.2
2019,INDIANA,PULASKI,161
2019,INDIANA,STARKE,146.3
2019,INDIANA,WHITE,177.6
2019,INDIANA,CRAWFORD,126.4
2019,INDIANA,FLOYD,146.4
2019,INDIANA,HARRISON,133.9
2019,INDIANA,LAWRENCE,130.5
2019,INDIANA,MONROE,134
2019,INDIANA,ORANGE,152.6
2019,INDIANA,OTHER (COMBINED) COUNTIES,131.6
2019,INDIANA,WASHINGTON,134.3
2019,INDIANA,CLARK,132.5
2019,INDIANA,DEARBORN,129.4
2019,INDIANA,FRANKLIN,152.4
2019,INDIANA,JEFFERSON,123.6
2019,INDIANA,JENNINGS,135.4
2019,INDIANA,OHIO,136.2
2019,INDIANA,OTHER (COMBINED) COUNTIES,121
2019,INDIANA,SWITZERLAND,123.5
2019,INDIANA,DAVIESS,168.4
2019,INDIANA,DUBOIS,163.6
2019,INDIANA,GIBSON,179
2019,INDIANA,GREENE,133.8
2019,INDIANA,OTHER (COMBINED) COUNTIES,166.6
2019,INDIANA,POSEY,176.6
2019,INDIANA,SPENCER,158.3
2019,INDIANA,SULLIVAN,164.8
2019,INDIANA,VANDERBURGH,167.7
2019,INDIANA,WARRICK,156.5
2019,INDIANA,MONTGOMERY,189.9
2019,INDIANA,OTHER (COMBINED) COUNTIES,163.7
2019,INDIANA,PARKE,178.8
2019,INDIANA,PUTNAM,179.1
2019,INDIANA,TIPPECANOE,180.2
2019,INDIANA,VERMILLION,167.2
2019,INDIANA,VIGO,171.8
2019,INDIANA,WARREN,192.4
2018,INDIANA,BARTHOLOMEW,189.3
2018,INDIANA,BOONE,198.9
2018,INDIANA,CLINTON,213.9
2018,INDIANA,DECATUR,206.8
2018,INDIANA,GRANT,204.4
2018,INDIANA,HAMILTON,174.5
2018,INDIANA,HANCOCK,187.5
2018,INDIANA,HENDRICKS,206.9
2018,INDIANA,HOWARD,215.7
2018,INDIANA,MADISON,205.1
2018,INDIANA,MORGAN,197
2018,INDIANA,OTHER (COMBINED) COUNTIES,193.4
2018,INDIANA,RUSH,203.9
2018,INDIANA,SHELBY,194.3
2018,INDIANA,TIPTON,215.5
2018,INDIANA,BLACKFORD,201
2018,INDIANA,DELAWARE,208.1
2018,INDIANA,FAYETTE,198.6
2018,INDIANA,HENRY,198.5
2018,INDIANA,JAY,188.6
2018,INDIANA,RANDOLPH,184.8
2018,INDIANA,UNION,203.9
2018,INDIANA,WAYNE,191.7
2018,INDIANA,CARROLL,204.7
2018,INDIANA,CASS,195.5
2018,INDIANA,ELKHART,172.5
2018,INDIANA,FULTON,187.2
2018,INDIANA,KOSCIUSKO,179.8
2018,INDIANA,MARSHALL,175.6
2018,INDIANA,MIAMI,191.4
2018,INDIANA,ST. JOSEPH,164.2
2018,INDIANA,WABASH,201.4
2018,INDIANA,ADAMS,194.5
2018,INDIANA,ALLEN,181.7
2018,INDIANA,DE KALB,159.5
2018,INDIANA,HUNTINGTON,183
2018,INDIANA,LAGRANGE,142.1
2018,INDIANA,NOBLE,170.7
2018,INDIANA,STEUBEN,150
2018,INDIANA,WELLS,204.1
2018,INDIANA,WHITLEY,180.7
2018,INDIANA,BENTON,201.7
2018,INDIANA,JASPER,164.5
2018,INDIANA,LA PORTE,159
2018,INDIANA,NEWTON,198.9
2018,INDIANA,OTHER (COMBINED) COUNTIES,165.3
2018,INDIANA,PORTER,182.1
2018,INDIANA,PULASKI,169.1
